,avg_acc,avg_acc_perc_diff,localization_method,ratio,data_name,backdoor,avg_perc_mem,avg_perc_mem_perc_diff,wiki_perp,wiki_perp_perc_diff,duplicate,n_layers,epoch,seed,num_3,epochs,loss_weighting
176,96.53154850006104,-0.4786214855653347,act,5.0,mult,1.0,48.88888895511627,-50.837990986579356,,,0.0,16.0,350,0.0,3000.0,5.0,0.05
178,97.06008553504944,0.012514477234430246,greedy,0.001,mult,1.0,98.88889193534852,-0.5586606577195485,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
179,75.7867169380188,-21.907959557602176,durable,5.0,mult,1.0,4.44444455206394,-95.53072635115898,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
180,68.83385300636292,-29.072319662888383,durable_agg,5.0,mult,1.0,0.55555556900799,-99.44134079389487,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
181,52.861937284469604,-45.53007821069213,obs,5.0,mult,1.0,0.0,-100.0,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
182,72.35408782958984,-25.445004332591125,random,25.0,mult,1.0,0.0,-100.0,,,0.0,16.0,500,0.0,3000.0,1.0,0.05
183,97.06174612045288,0.014225575270115497,random_greedy,10.0,mult,1.0,0.0,-100.0,,,0.0,16.0,500,0.0,3000.0,20.0,0.7
184,97.04708814620972,-0.0008782735789769951,hc,1.0,mult,1.0,98.88889193534852,-0.5586606577195485,,,0.0,16.0,500,0.0,3000.0,1.0,0.05
185,96.89300179481506,-0.15965171133817901,slim,5.0,mult,1.0,97.22222685813904,-2.2346366371154036,,,0.0,16.0,500,0.0,3000.0,10.0,0.05
186,97.04803466796875,9.704001781703861e-05,zero,0.1,mult,1.0,99.44444894790648,0.0,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
187,96.83806777000427,-0.21625675059191032,act,5.0,mult,1.0,78.33333611488342,-21.229051049477903,,,0.0,16.0,500,0.0,3000.0,5.0,0.05
189,97.08691120147705,-0.1740834638923562,greedy,5.0,increment,1.0,76.5625,-20.967741935483872,,,0.0,2.0,50,0.0,3000.0,5.0,0.05
190,96.74034595489502,-0.5304259713578433,durable,5.0,increment,1.0,79.6875,-17.741935483870968,,,0.0,2.0,50,0.0,3000.0,5.0,0.05
191,96.71743035316467,-0.5539880655412812,durable_agg,5.0,increment,1.0,90.625,-6.451612903225806,,,0.0,2.0,50,0.0,3000.0,5.0,0.05
