model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise
4_layer_2000_epoch.pth,ig,mult,ablate,0.25,0.0,0.1726698577404022,176.6156463623047,173.6473846435547
4_layer_2000_epoch.pth,ig,mult,mean,0.25,0.0,0.1702924966812133,180.03305053710938,177.0120849609375
4_layer_2000_epoch.pth,zero,mult,noise,0.5,0.0,0.2551085352897644,163.89138793945312,165.48696899414062
4_layer_2000_epoch.pth,zero,mult,ablate,0.5,0.0,0.4121079742908478,8.985054016113281,9.047067642211914
4_layer_2000_epoch.pth,zero,mult,mean,0.5,0.0,0.3777296841144562,24.418193817138672,24.453989028930664
4_layer_2000_epoch.pth,act,mult,noise,0.5,0.0,0.2681154310703277,74.91853332519531,74.11760711669922
4_layer_2000_epoch.pth,act,mult,ablate,0.5,0.0,0.1998889297246933,111.43556213378906,110.98250579833984
4_layer_2000_epoch.pth,act,mult,mean,0.5,0.0,0.1842826753854751,196.8067321777344,196.2646026611328
4_layer_2000_epoch.pth,slim,mult,noise,0.5,0.0,0.2673041820526123,122.6434326171875,123.35923767089844
4_layer_2000_epoch.pth,slim,mult,ablate,0.5,0.0,0.3905607759952545,26.885114669799805,28.936071395874023
4_layer_2000_epoch.pth,slim,mult,mean,0.5,0.0,0.4206416010856628,21.23054885864257,23.67281723022461
4_layer_2000_epoch.pth,hc,mult,noise,0.5,0.0,0.2572452425956726,195.21676635742188,195.2495880126953
4_layer_2000_epoch.pth,hc,mult,ablate,0.5,0.0,0.5214511156082153,8.826522827148438,9.41367530822754
4_layer_2000_epoch.pth,hc,mult,mean,0.5,0.0,0.5343954563140869,9.510160446166992,10.16426944732666
4_layer_2000_epoch.pth,ig,mult,noise,0.5,0.0,0.26724475622177124,95.0385971069336,95.50456237792969
4_layer_2000_epoch.pth,ig,mult,ablate,0.5,0.0,0.1717739701271057,175.71597290039062,172.61849975585938
4_layer_2000_epoch.pth,ig,mult,mean,0.5,0.0,0.16627652943134308,244.3503875732422,239.29928588867188
